0 14990
35.0 9442
70.0 6369
105.0 7534
140.0 2522
175.0 2052
210.0 1592
245.0 1306
280.0 1013
315.0 724
350.0 604
385.0 533
420.0 400
455.0 508
490.0 279
525.0 209
560.0 187
595.0 146
630.0 135
665.0 125
700.0 95
735.0 82
770.0 77
805.0 62
840.0 62
875.0 49
910.0 58
945.0 45
980.0 47
1015.0 39
1050.0 34
1085.0 31
1120.0 23
1155.0 17
1190.0 24
1225.0 15
1260.0 19
1295.0 14
1330.0 14
1365.0 13
1400.0 10
1435.0 13
1470.0 11
1505.0 4
1540.0 11
1575.0 8
1610.0 3
1645.0 8
1680.0 4
1715.0 8
1750.0 6
1785.0 3
1820.0 2
1855.0 6
1890.0 4
1925.0 3
1960.0 2
1995.0 2
2030.0 0
2065.0 1
2100.0 1
2135.0 0
2170.0 0
2205.0 0
2240.0 0
2275.0 0
